question,answer,context,id,task,direction,size
What is the maximum of Col 8?,9,csv/0-csv/arithmetic_1227.csv,nt4182,arithmetic,col,"(8, 8)"
What is the maximum of Col 4?,7,csv/0-csv/arithmetic_6548.csv,nt4183,arithmetic,col,"(10, 10)"
List all items in Row 12,"L,R,Q,L,B,I,L,N,J,L,D,X",csv/0-csv/item_4229.csv,nt4184,item,row,"(12, 12)"
What is the minimum of Col 10?,1,csv/0-csv/arithmetic_5069.csv,nt4185,arithmetic,col,"(12, 12)"
List all items in Row 4,"Y,V,Q,Z",csv/0-csv/item_2880.csv,nt4186,item,row,"(4, 4)"
What is the minimum of Col 2?,4,csv/0-csv/arithmetic_2706.csv,nt4187,arithmetic,col,"(6, 6)"
List all items in Row 5,"R,N,D,B,Y,W",csv/0-csv/item_3546.csv,nt4188,item,row,"(6, 6)"
What is the maximum of Row 8?,10,csv/0-csv/arithmetic_3418.csv,nt4189,arithmetic,row,"(10, 10)"
List all items in Col 5,"E,T,Q,W,L,D",csv/0-csv/item_446.csv,nt4190,item,col,"(6, 6)"
List all items in Row 5,"C,J,Z,T,A,K,R,G,P,V",csv/0-csv/item_2658.csv,nt4191,item,row,"(10, 10)"
List all items in Col 5,"C,T,W,T,W,X,E,G",csv/0-csv/item_5137.csv,nt4192,item,col,"(8, 8)"
What is the maximum of Row 1?,10,csv/0-csv/arithmetic_4377.csv,nt4193,arithmetic,row,"(8, 8)"
List all items in Row 3,"X,R,T,X,R,Y",csv/0-csv/item_1351.csv,nt4194,item,row,"(6, 6)"
What is the minimum of Col 9?,2,csv/0-csv/arithmetic_438.csv,nt4195,arithmetic,col,"(10, 10)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_6560.csv,nt4196,arithmetic,col,"(4, 4)"
What is the maximum of Col 5?,7,csv/0-csv/arithmetic_6206.csv,nt4197,arithmetic,col,"(6, 6)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_1569.csv,nt4198,arithmetic,col,"(12, 12)"
List all items in Row 7,"O,U,K,P,D,Z,D,Z",csv/0-csv/item_1437.csv,nt4199,item,row,"(8, 8)"
List all items in Col 1,"R,P,N,X,X,H,Q,M,N,J",csv/0-csv/item_6358.csv,nt4200,item,col,"(10, 10)"
List all items in Row 6,"T,Z,C,V,D,S",csv/0-csv/item_5651.csv,nt4201,item,row,"(6, 6)"
What is the minimum of Row 1?,1,csv/0-csv/arithmetic_4411.csv,nt4202,arithmetic,row,"(6, 6)"
List all items in Row 3,"M,W,G,M",csv/0-csv/item_320.csv,nt4203,item,row,"(4, 4)"
List all items in Col 2,"U,N,N,Q,H,R,Z,A,F,N,U,K",csv/0-csv/item_5889.csv,nt4204,item,col,"(12, 12)"
What is the maximum of Col 4?,8,csv/0-csv/arithmetic_2060.csv,nt4205,arithmetic,col,"(4, 4)"
List all items in Col 3,"W,F,T,D",csv/0-csv/item_3220.csv,nt4206,item,col,"(4, 4)"
List all items in Row 2,"E,N,W,I",csv/0-csv/item_5645.csv,nt4207,item,row,"(4, 4)"
What is the minimum of Row 1?,6,csv/0-csv/arithmetic_4405.csv,nt4208,arithmetic,row,"(4, 4)"
List all items in Col 4,"W,F,P,E,B,W,T,Z,F,D,A,C",csv/0-csv/item_334.csv,nt4209,item,col,"(12, 12)"
What is the maximum of Row 12?,10,csv/0-csv/arithmetic_2074.csv,nt4210,arithmetic,row,"(12, 12)"
List all items in Col 11,"D,I,G,H,U,Q,X,B,G,C,R,A",csv/0-csv/item_3234.csv,nt4211,item,col,"(12, 12)"
What is the maximum of Row 8?,10,csv/0-csv/arithmetic_6212.csv,nt4212,arithmetic,row,"(8, 8)"
List all items in Row 8,"U,Y,S,P,X,Z,A,L,Z,N",csv/0-csv/item_1423.csv,nt4213,item,row,"(10, 10)"
List all items in Row 4,"R,A,N,S",csv/0-csv/item_1345.csv,nt4214,item,row,"(4, 4)"
What is the minimum of Row 2?,1,csv/0-csv/arithmetic_6574.csv,nt4215,arithmetic,row,"(12, 12)"
List all items in Col 10,"V,Y,P,J,H,M,H,G,V,L,G,P",csv/0-csv/item_2894.csv,nt4216,item,col,"(12, 12)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_2712.csv,nt4217,arithmetic,col,"(8, 8)"
List all items in Row 1,"F,X,V,T,A,Z,B,N",csv/0-csv/item_3552.csv,nt4218,item,row,"(8, 8)"
List all items in Row 5,"F,Y,X,Y,D,H,R,W",csv/0-csv/item_452.csv,nt4219,item,row,"(8, 8)"
List all items in Row 8,"R,D,U,J,Y,X,M,F,L,A",csv/0-csv/item_5123.csv,nt4220,item,row,"(10, 10)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_4363.csv,nt4221,arithmetic,col,"(10, 10)"
What is the minimum of Col 10?,3,csv/0-csv/arithmetic_4388.csv,nt4222,arithmetic,col,"(10, 10)"
What is the maximum of Col 3?,8,csv/0-csv/arithmetic_2921.csv,nt4223,arithmetic,col,"(6, 6)"
What is the minimum of Col 4?,5,csv/0-csv/arithmetic_5096.csv,nt4224,arithmetic,col,"(6, 6)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_1596.csv,nt4225,arithmetic,col,"(6, 6)"
List all items in Col 3,"C,X,R,O,K,I",csv/0-csv/item_5876.csv,nt4226,item,col,"(6, 6)"
What is the minimum of Row 7?,1,csv/0-csv/arithmetic_5928.csv,nt4227,arithmetic,row,"(10, 10)"
What is the minimum of Col 3?,4,csv/0-csv/arithmetic_3381.csv,nt4228,arithmetic,col,"(6, 6)"
List all items in Row 1,"S,R,K,R,P,M,P,F",csv/0-csv/item_5862.csv,nt4229,item,row,"(8, 8)"
What is the minimum of Row 2?,1,csv/0-csv/arithmetic_3395.csv,nt4230,arithmetic,row,"(4, 4)"
What is the minimum of Col 5?,1,csv/0-csv/arithmetic_1582.csv,nt4231,arithmetic,col,"(8, 8)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_2935.csv,nt4232,arithmetic,col,"(4, 4)"
What is the minimum of Col 3?,2,csv/0-csv/arithmetic_5082.csv,nt4233,arithmetic,col,"(8, 8)"
List all items in Row 1,"F,A,E,F,J,N,C,O",csv/0-csv/item_1392.csv,nt4234,item,row,"(8, 8)"
List all items in Row 2,"E,V,B,X",csv/0-csv/item_485.csv,nt4235,item,row,"(4, 4)"
List all items in Row 5,"B,I,R,E,L,K,D,Q,T,I",csv/0-csv/item_2843.csv,nt4236,item,row,"(10, 10)"
List all items in Row 2,"Y,X,U,N",csv/0-csv/item_3585.csv,nt4237,item,row,"(4, 4)"
List all items in Col 6,"X,N,V,R,P,J,F,D",csv/0-csv/item_5692.csv,nt4238,item,col,"(8, 8)"
What is the minimum of Col 8?,1,csv/0-csv/arithmetic_5914.csv,nt4239,arithmetic,col,"(12, 12)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_389.csv,nt4240,arithmetic,row,"(12, 12)"
List all items in Row 1,"W,J,F,E,W,L,F,U,J,T",csv/0-csv/item_4598.csv,nt4241,item,row,"(10, 10)"
List all items in Col 1,"P,F,R,T,P,C",csv/0-csv/item_5686.csv,nt4242,item,col,"(6, 6)"
What is the minimum of Col 2?,2,csv/0-csv/arithmetic_5900.csv,nt4243,arithmetic,col,"(4, 4)"
List all items in Row 6,"K,L,B,Y,G,M",csv/0-csv/item_491.csv,nt4244,item,row,"(6, 6)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_2909.csv,nt4245,arithmetic,col,"(12, 12)"
List all items in Col 4,"F,N,O,G,O,J,U,M",csv/0-csv/item_2857.csv,nt4246,item,col,"(8, 8)"
List all items in Col 6,"W,R,J,L,B,O",csv/0-csv/item_3591.csv,nt4247,item,col,"(6, 6)"
List all items in Row 4,"L,E,T,N,Q,H",csv/0-csv/item_1386.csv,nt4248,item,row,"(6, 6)"
List all items in Col 6,"F,H,V,I,A,W",csv/0-csv/item_6166.csv,nt4249,item,col,"(6, 6)"
List all items in Row 8,"W,T,S,G,E,S,Y,I,R,S,O,C",csv/0-csv/item_1609.csv,nt4250,item,row,"(12, 12)"
What is the minimum of Col 1?,2,csv/0-csv/arithmetic_160.csv,nt4251,arithmetic,col,"(4, 4)"
What is the minimum of Col 2?,3,csv/0-csv/arithmetic_1757.csv,nt4252,arithmetic,col,"(8, 8)"
What is the minimum of Row 6?,1,csv/0-csv/arithmetic_6038.csv,nt4253,arithmetic,row,"(10, 10)"
List all items in Row 6,"J,G,O,S,S,X",csv/0-csv/item_4771.csv,nt4254,item,row,"(6, 6)"
What is the minimum of Row 6?,4,csv/0-csv/arithmetic_5531.csv,nt4255,arithmetic,row,"(6, 6)"
What is the minimum of Row 2?,2,csv/0-csv/arithmetic_3140.csv,nt4256,arithmetic,row,"(4, 4)"
List all items in Row 3,"X,M,V,P",csv/0-csv/item_2300.csv,nt4257,item,row,"(4, 4)"
List all items in Col 12,"U,D,E,Y,E,Z,G,L,H,X,D,F",csv/0-csv/item_5309.csv,nt4258,item,col,"(12, 12)"
What is the minimum of Col 8?,1,csv/0-csv/arithmetic_4149.csv,nt4259,arithmetic,col,"(12, 12)"
What is the minimum of Col 8?,1,csv/0-csv/arithmetic_42.csv,nt4260,arithmetic,col,"(8, 8)"
What is the minimum of Row 2?,2,csv/0-csv/arithmetic_3626.csv,nt4261,arithmetic,row,"(6, 6)"
List all items in Col 5,"H,Y,C,F,S,N",csv/0-csv/item_2466.csv,nt4262,item,col,"(6, 6)"
List all items in Row 3,"C,Z,H,P,Z,I,G,P,V,A",csv/0-csv/item_678.csv,nt4263,item,row,"(10, 10)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_2538.csv,nt4264,arithmetic,col,"(10, 10)"
List all items in Col 1,"Q,W,B,N,W,C,K,J,Z,R",csv/0-csv/item_3778.csv,nt4265,item,col,"(10, 10)"
List all items in Col 7,"C,E,M,R,C,Y,J,Q",csv/0-csv/item_4017.csv,nt4266,item,col,"(8, 8)"
What is the maximum of Col 8?,8,csv/0-csv/arithmetic_5257.csv,nt4267,arithmetic,col,"(8, 8)"
What is the minimum of Col 2?,4,csv/0-csv/arithmetic_1031.csv,nt4268,arithmetic,col,"(6, 6)"
What is the minimum of Col 4?,2,csv/0-csv/arithmetic_6986.csv,nt4269,arithmetic,col,"(6, 6)"
What is the maximum of Row 2?,9,csv/0-csv/arithmetic_606.csv,nt4270,arithmetic,row,"(6, 6)"
List all items in Col 3,"Y,Q,W,D",csv/0-csv/item_6600.csv,nt4271,item,col,"(4, 4)"
What is the maximum of Row 2?,8,csv/0-csv/arithmetic_1025.csv,nt4272,arithmetic,row,"(4, 4)"
What is the maximum of Row 5?,8,csv/0-csv/arithmetic_6992.csv,nt4273,arithmetic,row,"(8, 8)"
What is the maximum of Row 7?,8,csv/0-csv/arithmetic_612.csv,nt4274,arithmetic,row,"(8, 8)"
List all items in Col 2,"C,Y,M,V,W,D,R,F,Y,U,P,V",csv/0-csv/item_6614.csv,nt4275,item,col,"(12, 12)"
What is the minimum of Col 3?,2,csv/0-csv/arithmetic_3632.csv,nt4276,arithmetic,col,"(8, 8)"
What is the maximum of Col 3?,9,csv/0-csv/arithmetic_56.csv,nt4277,arithmetic,col,"(6, 6)"
List all items in Col 4,"E,I,Z,O,F,P,K,O",csv/0-csv/item_2472.csv,nt4278,item,col,"(8, 8)"
List all items in Row 5,"Y,X,C,J,K,Z,F,I,O,E",csv/0-csv/item_4003.csv,nt4279,item,row,"(10, 10)"
What is the minimum of Row 8?,1,csv/0-csv/arithmetic_5243.csv,nt4280,arithmetic,row,"(10, 10)"
List all items in Row 4,"N,X,I,B",csv/0-csv/item_4765.csv,nt4281,item,row,"(4, 4)"
What is the minimum of Col 2?,4,csv/0-csv/arithmetic_5525.csv,nt4282,arithmetic,col,"(4, 4)"
What is the maximum of Col 12?,9,csv/0-csv/arithmetic_3154.csv,nt4283,arithmetic,col,"(12, 12)"
List all items in Row 3,"O,H,I,Y,N,E,Z,K,K,U,Z,W",csv/0-csv/item_2314.csv,nt4284,item,row,"(12, 12)"
List all items in Row 4,"V,R,P,R,E,B,K,A",csv/0-csv/item_6172.csv,nt4285,item,row,"(8, 8)"
What is the minimum of Row 5?,2,csv/0-csv/arithmetic_174.csv,nt4286,arithmetic,row,"(12, 12)"
What is the maximum of Row 5?,8,csv/0-csv/arithmetic_1743.csv,nt4287,arithmetic,row,"(10, 10)"
List all items in Col 4,"I,O,A,V,D,K,K,W",csv/0-csv/item_3022.csv,nt4288,item,col,"(8, 8)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_2262.csv,nt4289,arithmetic,row,"(8, 8)"
List all items in Row 5,"U,U,S,P,N,P,N,S",csv/0-csv/item_122.csv,nt4290,item,row,"(8, 8)"
List all items in Row 4,"J,D,F,W",csv/0-csv/item_4995.csv,nt4291,item,row,"(4, 4)"
What is the maximum of Col 6?,10,csv/0-csv/arithmetic_4613.csv,nt4292,arithmetic,col,"(10, 10)"
List all items in Col 10,"Y,J,C,F,M,T,Z,R,A,B",csv/0-csv/item_5453.csv,nt4293,item,col,"(10, 10)"
List all items in Row 3,"O,H,J,Z",csv/0-csv/item_1635.csv,nt4294,item,row,"(4, 4)"
What is the maximum of Row 10?,9,csv/0-csv/arithmetic_6004.csv,nt4295,arithmetic,row,"(12, 12)"
What is the maximum of Col 1?,10,csv/0-csv/arithmetic_6762.csv,nt4296,arithmetic,col,"(8, 8)"
List all items in Row 6,"C,I,E,D,M,Y,H,C,S,K",csv/0-csv/item_1153.csv,nt4297,item,row,"(10, 10)"
What is the maximum of Col 2?,9,csv/0-csv/arithmetic_4175.csv,nt4298,arithmetic,col,"(4, 4)"
List all items in Row 3,"P,H,V,O",csv/0-csv/item_5335.csv,nt4299,item,row,"(4, 4)"
List all items in Col 9,"Z,Q,M,M,T,X,W,S,Z,K,J,A",csv/0-csv/item_644.csv,nt4300,item,col,"(12, 12)"
List all items in Col 1,"C,C,G,L,Z,X,H,X,P,M,K,O",csv/0-csv/item_3744.csv,nt4301,item,col,"(12, 12)"
What is the minimum of Col 6?,1,csv/0-csv/arithmetic_2504.csv,nt4302,arithmetic,col,"(12, 12)"
List all items in Row 2,"B,U,D,B,D,C,F,N,Q,L",csv/0-csv/item_3988.csv,nt4303,item,row,"(10, 10)"
What is the maximum of Col 3?,10,csv/0-csv/arithmetic_4161.csv,nt4304,arithmetic,col,"(6, 6)"
List all items in Col 6,"U,I,I,C,Z,F",csv/0-csv/item_5321.csv,nt4305,item,col,"(6, 6)"
List all items in Row 1,"S,C,M,O",csv/0-csv/item_650.csv,nt4306,item,row,"(4, 4)"
List all items in Col 4,"L,K,Z,W",csv/0-csv/item_3750.csv,nt4307,item,col,"(4, 4)"
What is the maximum of Col 3?,9,csv/0-csv/arithmetic_2510.csv,nt4308,arithmetic,col,"(4, 4)"
List all items in Col 2,"D,H,L,D,A,X,U,P,T,Y",csv/0-csv/item_888.csv,nt4309,item,col,"(10, 10)"
What is the maximum of Row 5?,9,csv/0-csv/arithmetic_6776.csv,nt4310,arithmetic,row,"(6, 6)"
What is the maximum of Col 8?,10,csv/0-csv/arithmetic_1019.csv,nt4311,arithmetic,col,"(12, 12)"
List all items in Col 5,"V,G,G,T,W,L,M,Z",csv/0-csv/item_1147.csv,nt4312,item,col,"(8, 8)"
List all items in Row 5,"L,N,C,P,O,G,U,V,V,H",csv/0-csv/item_6628.csv,nt4313,item,row,"(10, 10)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_148.csv,nt4314,arithmetic,col,"(10, 10)"
List all items in Col 6,"Z,N,I,C,F,A",csv/0-csv/item_1621.csv,nt4315,item,col,"(6, 6)"
What is the maximum of Col 2?,8,csv/0-csv/arithmetic_6010.csv,nt4316,arithmetic,col,"(4, 4)"
What is the maximum of Col 4?,8,csv/0-csv/arithmetic_5519.csv,nt4317,arithmetic,col,"(12, 12)"
List all items in Row 3,"C,P,Q,W,H,G,E,C,Q,G,A,L",csv/0-csv/item_4759.csv,nt4318,item,row,"(12, 12)"
List all items in Row 2,"O,L,T,B,W,M",csv/0-csv/item_3036.csv,nt4319,item,row,"(6, 6)"
What is the minimum of Row 5?,4,csv/0-csv/arithmetic_2276.csv,nt4320,arithmetic,row,"(6, 6)"
List all items in Row 3,"D,R,B,F,F,G,X,H,Z,E",csv/0-csv/item_2328.csv,nt4321,item,row,"(10, 10)"
List all items in Row 3,"W,G,I,B,M,K",csv/0-csv/item_136.csv,nt4322,item,row,"(6, 6)"
What is the maximum of Row 1?,10,csv/0-csv/arithmetic_3168.csv,nt4323,arithmetic,row,"(10, 10)"
List all items in Row 4,"Y,A,L,E,O,P",csv/0-csv/item_4981.csv,nt4324,item,row,"(6, 6)"
What is the minimum of Col 4?,3,csv/0-csv/arithmetic_4607.csv,nt4325,arithmetic,col,"(8, 8)"
List all items in Col 7,"M,I,X,Q,E,J,I,G",csv/0-csv/item_5447.csv,nt4326,item,col,"(8, 8)"
What is the minimum of Row 4?,1,csv/0-csv/arithmetic_3183.csv,nt4327,arithmetic,row,"(10, 10)"
What is the minimum of Col 2?,3,csv/0-csv/arithmetic_4834.csv,nt4328,arithmetic,col,"(12, 12)"
What is the minimum of Row 6?,2,csv/0-csv/arithmetic_1794.csv,nt4329,arithmetic,row,"(12, 12)"
List all items in Row 3,"U,L,V,A,C,P,R,P",csv/0-csv/item_1812.csv,nt4330,item,row,"(8, 8)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_6945.csv,nt4331,arithmetic,col,"(4, 4)"
What is the maximum of Col 8?,8,csv/0-csv/arithmetic_5294.csv,nt4332,arithmetic,col,"(12, 12)"
List all items in Col 2,"L,V,S,Z,C,D,U,F,T,O",csv/0-csv/item_863.csv,nt4333,item,col,"(10, 10)"
List all items in Col 10,"X,O,H,K,Z,P,W,C,X,Z",csv/0-csv/item_3963.csv,nt4334,item,col,"(10, 10)"
What is the maximum of Col 6?,7,csv/0-csv/arithmetic_81.csv,nt4335,arithmetic,col,"(6, 6)"
What is the maximum of Col 11?,7,csv/0-csv/arithmetic_3829.csv,nt4336,arithmetic,col,"(12, 12)"
List all items in Row 7,"S,P,H,J,G,Z,U,S",csv/0-csv/item_877.csv,nt4337,item,row,"(8, 8)"
What is the maximum of Col 1?,9,csv/0-csv/arithmetic_5280.csv,nt4338,arithmetic,col,"(4, 4)"
List all items in Row 2,"G,X,W,P,C,J,Q,P",csv/0-csv/item_3977.csv,nt4339,item,row,"(8, 8)"
What is the minimum of Row 1?,4,csv/0-csv/arithmetic_95.csv,nt4340,arithmetic,row,"(4, 4)"
What is the minimum of Col 3?,1,csv/0-csv/arithmetic_6951.csv,nt4341,arithmetic,col,"(6, 6)"
What is the minimum of Col 5?,2,csv/0-csv/arithmetic_6789.csv,nt4342,arithmetic,col,"(12, 12)"
What is the minimum of Col 5?,1,csv/0-csv/arithmetic_809.csv,nt4343,arithmetic,col,"(12, 12)"
What is the minimum of Row 1?,1,csv/0-csv/arithmetic_1780.csv,nt4344,arithmetic,row,"(4, 4)"
List all items in Col 1,"W,L,X,W,Y,V",csv/0-csv/item_1806.csv,nt4345,item,col,"(6, 6)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_1958.csv,nt4346,arithmetic,row,"(10, 10)"
What is the maximum of Col 2?,7,csv/0-csv/arithmetic_3197.csv,nt4347,arithmetic,col,"(8, 8)"
What is the maximum of Col 1?,8,csv/0-csv/arithmetic_2289.csv,nt4348,arithmetic,col,"(12, 12)"
What is the maximum of Col 2?,9,csv/0-csv/arithmetic_4820.csv,nt4349,arithmetic,col,"(4, 4)"
What is the maximum of Row 2?,9,csv/0-csv/arithmetic_1970.csv,nt4350,arithmetic,row,"(4, 4)"
List all items in Row 11,"A,K,Q,T,I,Q,L,Z,M,T,C,P",csv/0-csv/item_6199.csv,nt4351,item,row,"(12, 12)"
List all items in Col 4,"W,X,X,J,Z,O",csv/0-csv/item_4956.csv,nt4352,item,col,"(6, 6)"
List all items in Col 3,"T,W,E,R",csv/0-csv/item_5490.csv,nt4353,item,col,"(4, 4)"
What is the minimum of Row 4?,2,csv/0-csv/arithmetic_4808.csv,nt4354,arithmetic,row,"(10, 10)"
List all items in Col 7,"J,O,L,Y,E,A,I,P",csv/0-csv/item_3787.csv,nt4355,item,col,"(8, 8)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_3801.csv,nt4356,arithmetic,col,"(6, 6)"
List all items in Row 8,"Q,C,S,Z,U,H,C,A,L,G,P,P",csv/0-csv/item_2499.csv,nt4357,item,row,"(12, 12)"
List all items in Col 1,"E,O,K,N,P,U,P,U",csv/0-csv/item_687.csv,nt4358,item,col,"(8, 8)"
List all items in Col 3,"C,Q,Q,K",csv/0-csv/item_1190.csv,nt4359,item,col,"(4, 4)"
What is the maximum of Row 5?,10,csv/0-csv/arithmetic_6979.csv,nt4360,arithmetic,row,"(12, 12)"
What is the minimum of Row 3?,3,csv/0-csv/arithmetic_821.csv,nt4361,arithmetic,row,"(6, 6)"
List all items in Row 7,"V,X,A,M,Z,N,M,B",csv/0-csv/item_6827.csv,nt4362,item,row,"(8, 8)"
List all items in Row 11,"J,Y,W,C,G,Q,N,L,F,H,D,L",csv/0-csv/item_1184.csv,nt4363,item,row,"(12, 12)"
What is the maximum of Col 1?,10,csv/0-csv/arithmetic_835.csv,nt4364,arithmetic,col,"(4, 4)"
List all items in Row 5,"L,X,X,N,A,D,J,Q,K,R",csv/0-csv/item_6833.csv,nt4365,item,row,"(10, 10)"
List all items in Col 1,"E,S,Y,S,T,V,F,O,E,V",csv/0-csv/item_3793.csv,nt4366,item,col,"(10, 10)"
What is the maximum of Col 4?,10,csv/0-csv/arithmetic_3815.csv,nt4367,arithmetic,col,"(4, 4)"
List all items in Col 9,"D,Y,E,G,Y,G,D,R,F,C",csv/0-csv/item_693.csv,nt4368,item,col,"(10, 10)"
List all items in Row 1,"Q,D,Z,F,H,I,S,S",csv/0-csv/item_4942.csv,nt4369,item,row,"(8, 8)"
List all items in Col 10,"N,Q,M,K,W,E,J,D,U,G,B,Z",csv/0-csv/item_5484.csv,nt4370,item,col,"(12, 12)"
What is the minimum of Col 3?,1,csv/0-csv/arithmetic_1964.csv,nt4371,arithmetic,col,"(12, 12)"
List all items in Row 3,"V,M,V,F",csv/0-csv/item_6825.csv,nt4372,item,row,"(4, 4)"
What is the minimum of Row 9?,1,csv/0-csv/arithmetic_823.csv,nt4373,arithmetic,row,"(10, 10)"
List all items in Row 1,"W,V,A,U,J,K,U,H",csv/0-csv/item_1192.csv,nt4374,item,row,"(8, 8)"
List all items in Row 1,"A,P,J,D",csv/0-csv/item_685.csv,nt4375,item,row,"(4, 4)"
What is the maximum of Col 6?,9,csv/0-csv/arithmetic_3803.csv,nt4376,arithmetic,col,"(10, 10)"
List all items in Col 2,"Y,M,C,D",csv/0-csv/item_3785.csv,nt4377,item,col,"(4, 4)"
List all items in Row 8,"E,V,T,C,I,Q,A,O",csv/0-csv/item_5492.csv,nt4378,item,row,"(8, 8)"
List all items in Col 8,"F,L,P,I,Q,L,D,Z,Z,Q,V,Y",csv/0-csv/item_4954.csv,nt4379,item,col,"(12, 12)"
What is the minimum of Row 4?,1,csv/0-csv/arithmetic_1972.csv,nt4380,arithmetic,row,"(8, 8)"
What is the maximum of Col 8?,10,csv/0-csv/arithmetic_189.csv,nt4381,arithmetic,col,"(12, 12)"
What is the maximum of Row 2?,10,csv/0-csv/arithmetic_1966.csv,nt4382,arithmetic,row,"(6, 6)"
List all items in Col 7,"A,Z,O,U,A,L,C,B,O,I",csv/0-csv/item_1838.csv,nt4383,item,col,"(10, 10)"
List all items in Row 1,"Q,P,U,M,H,X,R,D,G,K",csv/0-csv/item_4798.csv,nt4384,item,row,"(10, 10)"
List all items in Col 3,"X,C,F,H,B,B",csv/0-csv/item_5486.csv,nt4385,item,col,"(6, 6)"
List all items in Row 1,"O,F,K,W",csv/0-csv/item_4940.csv,nt4386,item,row,"(4, 4)"
List all items in Col 1,"E,M,T,Q,R,L",csv/0-csv/item_691.csv,nt4387,item,col,"(6, 6)"
List all items in Row 9,"J,V,J,A,Y,F,W,D,T,W,H,P",csv/0-csv/item_3949.csv,nt4388,item,row,"(12, 12)"
List all items in Col 8,"B,L,W,U,Q,H,K,C,S,M,C,L",csv/0-csv/item_849.csv,nt4389,item,col,"(12, 12)"
What is the maximum of Col 5?,10,csv/0-csv/arithmetic_3817.csv,nt4390,arithmetic,col,"(8, 8)"
List all items in Col 5,"A,I,T,D,G,W",csv/0-csv/item_3791.csv,nt4391,item,col,"(6, 6)"
List all items in Row 6,"V,S,V,F,A,E",csv/0-csv/item_6831.csv,nt4392,item,row,"(6, 6)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_837.csv,nt4393,arithmetic,row,"(8, 8)"
List all items in Col 1,"J,L,J,F,M,O",csv/0-csv/item_1186.csv,nt4394,item,col,"(6, 6)"
What is the maximum of Row 6?,8,csv/0-csv/arithmetic_83.csv,nt4395,arithmetic,row,"(10, 10)"
What is the minimum of Row 1?,2,csv/0-csv/arithmetic_4188.csv,nt4396,arithmetic,row,"(10, 10)"
List all items in Col 2,"S,U,R,Z,A,H",csv/0-csv/item_3961.csv,nt4397,item,col,"(6, 6)"
List all items in Col 6,"G,K,Y,F,O,W",csv/0-csv/item_861.csv,nt4398,item,col,"(6, 6)"
What is the maximum of Row 5?,10,csv/0-csv/arithmetic_5296.csv,nt4399,arithmetic,row,"(6, 6)"
List all items in Row 3,"N,R,P,V,O,L,H,E,D,I,J,E",csv/0-csv/item_6819.csv,nt4400,item,row,"(12, 12)"
What is the minimum of Row 8?,4,csv/0-csv/arithmetic_6947.csv,nt4401,arithmetic,row,"(8, 8)"
List all items in Row 2,"K,A,F,Q",csv/0-csv/item_1810.csv,nt4402,item,row,"(4, 4)"
What is the minimum of Row 6?,3,csv/0-csv/arithmetic_1796.csv,nt4403,arithmetic,row,"(6, 6)"
What is the minimum of Col 3?,2,csv/0-csv/arithmetic_4836.csv,nt4404,arithmetic,col,"(6, 6)"
List all items in Row 8,"U,A,W,G,N,T,P,N,G,I",csv/0-csv/item_4968.csv,nt4405,item,row,"(10, 10)"
What is the minimum of Col 4?,3,csv/0-csv/arithmetic_3181.csv,nt4406,arithmetic,col,"(6, 6)"
What is the maximum of Row 4?,10,csv/0-csv/arithmetic_4822.csv,nt4407,arithmetic,row,"(8, 8)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_3195.csv,nt4408,arithmetic,row,"(4, 4)"
List all items in Col 1,"T,L,X,O,K,W,I,V,S,Y,Y,N",csv/0-csv/item_1804.csv,nt4409,item,col,"(12, 12)"
What is the maximum of Row 8?,10,csv/0-csv/arithmetic_1782.csv,nt4410,arithmetic,row,"(8, 8)"
What is the maximum of Row 6?,10,csv/0-csv/arithmetic_6953.csv,nt4411,arithmetic,row,"(10, 10)"
What is the maximum of Col 8?,8,csv/0-csv/arithmetic_97.csv,nt4412,arithmetic,col,"(8, 8)"
List all items in Row 1,"W,H,A,F",csv/0-csv/item_3975.csv,nt4413,item,row,"(4, 4)"
What is the minimum of Row 5?,2,csv/0-csv/arithmetic_5282.csv,nt4414,arithmetic,row,"(8, 8)"
List all items in Col 2,"M,U,W,B",csv/0-csv/item_875.csv,nt4415,item,col,"(4, 4)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_5269.csv,nt4416,arithmetic,col,"(12, 12)"
List all items in Row 2,"S,K,M,X,A,U,L,R,K,D,J,G",csv/0-csv/item_4029.csv,nt4417,item,row,"(12, 12)"
List all items in Row 2,"M,K,Q,C,H,F",csv/0-csv/item_3746.csv,nt4418,item,row,"(6, 6)"
What is the minimum of Col 5?,1,csv/0-csv/arithmetic_2506.csv,nt4419,arithmetic,col,"(6, 6)"
